Date,Title,Artist,Weeks_On_Chart,Last_Week_Rank
2017-02-04,Bad And Boujee,Migos Featuring Lil Uzi Vert,10,2
2017-01-28,Shape Of You,Ed Sheeran,1,
2017-01-21,Bad And Boujee,Migos Featuring Lil Uzi Vert,8,2
2017-01-14,Black Beatles,Rae Sremmurd Featuring Gucci Mane,16,2
2017-01-07,Starboy,The Weeknd Featuring Daft Punk,14,2
2016-12-31,Black Beatles,Rae Sremmurd Featuring Gucci Mane,14,
2016-12-24,Black Beatles,Rae Sremmurd Featuring Gucci Mane,13,
2016-12-17,Black Beatles,Rae Sremmurd Featuring Gucci Mane,12,
2016-12-10,Black Beatles,Rae Sremmurd Featuring Gucci Mane,11,
2016-12-03,Black Beatles,Rae Sremmurd Featuring Gucci Mane,10,
2016-11-26,Black Beatles,Rae Sremmurd Featuring Gucci Mane,9,9
2016-11-19,Closer,The Chainsmokers Featuring Halsey,14,
2016-11-12,Closer,The Chainsmokers Featuring Halsey,13,
2016-11-05,Closer,The Chainsmokers Featuring Halsey,12,
2016-10-29,Closer,The Chainsmokers Featuring Halsey,11,
2016-10-22,Closer,The Chainsmokers Featuring Halsey,10,
2016-10-15,Closer,The Chainsmokers Featuring Halsey,9,
2016-10-08,Closer,The Chainsmokers Featuring Halsey,8,
2016-10-01,Closer,The Chainsmokers Featuring Halsey,7,
2016-09-24,Closer,The Chainsmokers Featuring Halsey,6,
2016-09-17,Closer,The Chainsmokers Featuring Halsey,5,
2016-09-10,Closer,The Chainsmokers Featuring Halsey,4,
2016-09-03,Closer,The Chainsmokers Featuring Halsey,3,6
2016-08-27,Cheap Thrills,Sia Featuring Sean Paul,26,
2016-08-20,Cheap Thrills,Sia Featuring Sean Paul,25,
2016-08-13,Cheap Thrills,Sia Featuring Sean Paul,24,
2016-08-06,Cheap Thrills,Sia Featuring Sean Paul,23,3
2016-07-30,One Dance,Drake Featuring WizKid & Kyla,15,
2016-07-23,One Dance,Drake Featuring WizKid & Kyla,14,
2016-07-16,One Dance,Drake Featuring WizKid & Kyla,13,
2016-07-09,One Dance,Drake Featuring WizKid & Kyla,12,
2016-07-02,One Dance,Drake Featuring WizKid & Kyla,11,
2016-06-25,One Dance,Drake Featuring WizKid & Kyla,10,
2016-06-18,One Dance,Drake Featuring WizKid & Kyla,9,
2016-06-11,One Dance,Drake Featuring WizKid & Kyla,8,
2016-06-04,One Dance,Drake Featuring WizKid & Kyla,7,2
2016-05-28,Can't Stop The Feeling!,Justin Timberlake,1,
2016-05-21,One Dance,Drake Featuring WizKid & Kyla,5,2
2016-05-14,Panda,Desiigner,10,
2016-05-07,Panda,Desiigner,9,2
2016-04-30,Work,Rihanna Featuring Drake,12,
2016-04-23,Work,Rihanna Featuring Drake,11,
2016-04-16,Work,Rihanna Featuring Drake,10,
2016-04-09,Work,Rihanna Featuring Drake,9,
2016-04-02,Work,Rihanna Featuring Drake,8,
2016-03-26,Work,Rihanna Featuring Drake,7,
2016-03-19,Work,Rihanna Featuring Drake,6,
2016-03-12,Work,Rihanna Featuring Drake,5,
